KF — UWB Realtime
  Q=0.01 mm²   R=50.0 mm²
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
[KF] init  x=126.1  y=4294.5
  10.121     653     1667.1     4255.4
  10.138     654     1668.8     4257.3
  10.155     655     1671.0     4259.3
  10.171     656     1673.9     4261.6
  10.188     657     1676.9     4264.2
  10.205     658     1679.5     4266.6
  10.222     659     1681.8     4269.1
  10.239     660     1684.0     4272.3
  10.255     661     1687.4     4275.1
  10.272     662     1689.3     4278.6
  10.291     663     1692.4     4281.5
  10.307     664     1695.0     4284.2
  10.324     665     1698.0     4287.2
  10.341     666     1701.0     4290.1
  10.358     667     1703.6     4292.8
  10.376     668     1706.6     4295.2
  10.393     669     1709.1     4297.4
  10.410     670     1712.8     4300.3
  10.427     671     1715.8     4302.1
  10.444     672     1719.3     4303.2
  10.463     673     1723.1     4303.3
  10.480     674     1727.2     4303.8
  10.498     675     1730.2     4304.7
  10.514     676     1733.8     4305.2
  10.531     677     1737.9     4305.8
  10.547     678     1741.3     4306.5
  10.564     679     1745.5     4307.2
  10.581     680     1749.3     4308.3
  10.599     681     1753.5     4308.9
  10.615     682     1757.1     4309.0
  10.631     683     1760.7     4308.8
  10.649     684     1764.3     4308.7
  10.666     685     1768.0     4309.0
  10.682     686     1771.4     4309.7
  10.698     687     1774.5     4309.6
  10.715     688     1777.4     4310.2
  10.732     689     1780.3     4311.4
  10.749     690     1784.0     4312.2
  10.767     691     1787.7     4311.7
  10.783     692     1791.1     4311.4
  10.800     693     1794.5     4311.8
  10.817     694     1797.1     4312.7
  10.834     695     1800.0     4312.7
  10.851     696     1802.5     4312.7
  10.868     697     1805.5     4312.7
  10.885     698     1808.7     4312.0
  10.901     699     1811.4     4311.8
  10.918     700     1814.0     4311.6
  10.935     701     1815.5     4311.4
  10.952     702     1817.6     4311.4
  10.969     703     1818.9     4310.3
  10.986     704     1821.4     4310.2
  11.004     705     1824.2     4309.2
  11.021     706     1826.1     4308.7
  11.037     707     1828.1     4308.7
  11.054     708     1829.8     4308.7
  11.071     709     1832.4     4308.8
  11.088     710     1834.9     4308.8
  11.105     711     1838.3     4308.8
  11.122     712     1840.5     4309.4
  11.139     713     1843.2     4310.5
  11.156     714     1845.8     4310.6
  11.172     715     1848.1     4311.2
  11.189     716     1851.4     4311.4
  11.206     717     1855.1     4312.0
  11.223     718     1858.1     4312.7
  11.240     719     1860.9     4313.4
  11.257     720     1864.4     4314.8
  11.275     721     1867.9     4315.7
  11.292     722     1871.2     4317.1
  11.309     723     1874.4     4318.4
